County,State,Republic,Democrate,Win
Butler County,KS,0.696,0.282,R
Butler County,AL,0.576,0.418,R
Butler County,IA,0.686,0.3,R
Butler County,KY,0.81,0.176,R
Butler County,NE,0.787,0.194,R
Butler County,PA,0.658,0.329,R
Butler County,OH,0.614,0.372,R
Butler County,MO,0.804,0.182,R
Butte County,CA,0.477,0.495,R
Butte County,ID,0.849,0.133,R
Butte County,SD,0.777,0.196,R
Butts County,GA,0.713,0.278,R
Buxton County,ME,0.509,0.458,R
Cabarrus County,NC,0.541,0.446,R
Cabell County,WV,0.581,0.401,R
Cabot County,VT,0.332,0.626,D
Cache County,UT,0.66,0.29,R
Caddo County,LA,0.458,0.525,D
Caddo County,OK,0.711,0.271,R
Calais County,ME,0.565,0.413,R
Calais County,VT,0.193,0.772,D
Calaveras County,CA,0.61,0.368,R
Calcasieu County,LA,0.666,0.314,R
Caldwell County,KY,0.762,0.222,R
Caldwell County,MO,0.793,0.191,R
Caldwell County,LA,0.835,0.156,R
Caldwell County,TX,0.54,0.442,R
Caldwell County,NC,0.751,0.238,R
Calhoun County,FL,0.807,0.185,R
Calhoun County,AL,0.689,0.298,R
Calhoun County,MS,0.703,0.287,R
Calhoun County,GA,0.421,0.574,D
Calhoun County,AR,0.751,0.218,R
Calhoun County,MI,0.548,0.433,R
Calhoun County,SC,0.519,0.471,R
Calhoun County,TX,0.718,0.273,R
Calhoun County,WV,0.796,0.191,R
Calhoun County,IL,0.738,0.244,R
Calhoun County,IA,0.703,0.28,R
Callahan County,TX,0.88,0.108,R
Callaway County,MO,0.699,0.277,R
Calloway County,KY,0.651,0.332,R
Calumet County,WI,0.59,0.394,R
Calvert County,MD,0.52,0.462,R
Camas County,ID,0.672,0.198,R
Cambria County,PA,0.681,0.308,R
Cambridge County,VT,0.267,0.692,D
Cambridge County,MA,0.065,0.915,D
Camden County,MO,0.76,0.228,R
Camden County,ME,0.217,0.764,D
Camden County,GA,0.644,0.336,R
Camden County,NC,0.724,0.258,R
Camden County,NJ,0.323,0.661,D
Cameron County,PA,0.728,0.26,R
Cameron County,TX,0.429,0.56,D
Cameron County,LA,0.909,0.08,R
Camp County,TX,0.717,0.275,R
Campbell County,KY,0.583,0.397,R
Campbell County,SD,0.856,0.134,R
Campbell County,TN,0.826,0.163,R
Campbell County,VA,0.713,0.271,R
Campbell County,WY,0.868,0.099,R
Campton County,NH,0.453,0.526,D
Canaan County,ME,0.648,0.332,R
Canaan County,NH,0.427,0.557,D
Canaan County,CT,0.319,0.667,D
Canaan County,VT,0.484,0.48,R
Canadian County,OK,0.703,0.27,R
Candia County,NH,0.61,0.373,R
Candler County,GA,0.707,0.286,R
Cannon County,TN,0.791,0.192,R
Canterbury County,CT,0.583,0.392,R
Canterbury County,NH,0.409,0.575,D
Canton County,CT,0.4,0.582,D
Canton County,MA,0.344,0.635,D
Canton County,ME,0.688,0.283,R
Canyon County,ID,0.683,0.286,R
Cape Elizabeth County,ME,0.209,0.763,D
Cape Girardeau County,MO,0.717,0.267,R
Cape May County,NJ,0.575,0.414,R
Carbon County,PA,0.654,0.333,R
Carbon County,MT,0.628,0.342,R
Carbon County,WY,0.752,0.214,R
Carbon County,UT,0.709,0.261,R
Caribou County,ME,0.557,0.419,R
Caribou County,ID,0.851,0.126,R
Carlisle County,KY,0.818,0.176,R
Carlisle County,MA,0.211,0.762,D
Carlton County,MN,0.481,0.496,R
Carmel County,ME,0.664,0.314,R
Caroline County,VA,0.512,0.47,R
Caroline County,MD,0.663,0.315,R
Carrabassett Valley County,ME,0.311,0.66,D
Carroll County,MO,0.818,0.173,R
Carroll County,VA,0.81,0.182,R
Carroll County,OH,0.754,0.23,R
Carroll County,NH,0.496,0.494,R
Carroll County,MS,0.722,0.267,R
Carroll County,GA,0.688,0.298,R
Carroll County,TN,0.773,0.215,R
Carroll County,KY,0.714,0.27,R
Carroll County,IN,0.745,0.234,R
Carroll County,IL,0.637,0.342,R
Carroll County,AR,0.632,0.339,R
Carroll County,IA,0.684,0.306,R
Carroll County,MD,0.608,0.365,R
Carroll Plt. County,ME,0.811,0.189,R
Carson City County,NV,0.541,0.429,R
Carson County,TX,0.892,0.094,R
Carter County,MO,0.843,0.144,R
Carter County,MT,0.897,0.086,R
Carter County,KY,0.757,0.228,R
Carter County,TN,0.799,0.185,R
Carter County,OK,0.755,0.229,R
Carteret County,NC,0.705,0.283,R
Carver County,MA,0.508,0.473,R
Carver County,MN,0.514,0.465,R
Cascade County,MT,0.585,0.388,R
Casco County,ME,0.516,0.451,R
Casey County,KY,0.861,0.128,R
Cass County,IN,0.695,0.283,R
Cass County,ND,0.495,0.468,R
Cass County,IL,0.681,0.303,R
Cass County,MI,0.636,0.348,R
Cass County,MN,0.637,0.347,R
Cass County,MO,0.646,0.331,R
Cass County,NE,0.662,0.31,R
Cass County,IA,0.684,0.303,R
Cass County,TX,0.792,0.2,R
Cassia County,ID,0.821,0.152,R
Castine County,ME,0.271,0.691,D
Castle Hill County,ME,0.565,0.422,R
Castleton County,VT,0.481,0.488,R
Castro County,TX,0.769,0.224,R
Caswell County,NC,0.589,0.404,R
Catahoula County,LA,0.729,0.261,R
Catawba County,NC,0.679,0.307,R
Catoosa County,GA,0.77,0.212,R
Catron County,NM,0.73,0.255,R
Cattaraugus County,NY,0.675,0.304,R
Cavalier County,ND,0.742,0.235,R
Cavendish County,VT,0.375,0.588,D
Cayuga County,NY,0.582,0.396,R
Cecil County,MD,0.628,0.35,R
Cedar County,NE,0.835,0.145,R
Cedar County,IA,0.576,0.405,R
Cedar County,MO,0.822,0.162,R
Center Harbor County,NH,0.514,0.479,R
Central Falls County,RI,0.262,0.722,D
Centre County,PA,0.469,0.517,D
Cerro Gordo County,IA,0.523,0.46,R
Chaffee County,CO,0.454,0.522,D
Chambers County,AL,0.573,0.416,R
Chambers County,TX,0.801,0.185,R
Champaign County,IL,0.374,0.593,D
Champaign County,OH,0.727,0.255,R
Chaplin County,CT,0.513,0.464,R
Chapman County,ME,0.634,0.348,R
Chariton County,MO,0.763,0.225,R
Charlemont County,MA,0.316,0.662,D
Charles City County,VA,0.397,0.591,D
Charles County,MD,0.297,0.689,D
Charles Mix County,SD,0.675,0.311,R
Charleston County,VT,0.506,0.457,R
Charleston County,SC,0.426,0.555,D
Charleston County,ME,0.77,0.218,R
