Date,County,State,Series_Complete_Pop_Pct,Fully_Vaccinated,Fully_Vaccinated_12+,Fully_Vaccinated_18+,Fully_Vaccinated_65+,Completeness_pct,Administered_Dose1_Recip,Partially_Vaccinated,Partially_Vaccinated_12+,Partially_Vaccinated_18+,Partially_Vaccinated_65+
2021-10-28,Knox County,NE,44.9,3743,53.3,56.9,64.0,89.7,0.0,0.0,0.0,0.0,0.0
2021-10-28,McCone County,MT,16.7,278,19.3,20.6,30.2,95.7,286.0,17.2,19.9,21.0,30.8
2021-10-28,Carver County,MN,57.1,60005,68.4,70.0,86.5,94.5,65107.0,62.0,74.1,76.1,93.6
2021-10-28,Choctaw County,AL,58.0,7306,66.2,69.9,89.9,92.6,9101.0,72.3,82.5,86.6,99.9
2021-10-28,Greenlee County,AZ,38.2,3625,46.8,50.0,68.4,97.7,4149.0,43.7,53.5,56.8,73.9
2021-10-28,Upshur County,WV,8.4,2036,9.7,9.4,14.1,60.0,3120.0,12.9,14.9,14.6,18.1
2021-10-28,Powell County,KY,49.0,6058,58.3,61.0,86.2,94.4,6772.0,54.8,65.2,67.9,92.9
2021-10-28,Adams County,IN,30.6,10965,39.0,43.1,74.2,98.7,11743.0,32.8,41.8,46.0,77.7
2021-10-28,Randolph County,MO,33.3,8250,38.9,41.0,65.8,91.2,9727.0,39.3,45.8,48.3,76.6
2021-10-28,Rhea County,TN,38.4,12749,44.8,48.2,76.1,97.9,14436.0,43.5,50.8,54.3,81.3
2021-10-28,Lea County,NM,38.5,27352,48.1,50.5,68.9,97.2,32138.0,45.2,56.5,59.1,75.0
2021-10-28,Unknown County,SC,0.0,157422,0.0,0.0,0.0,93.9,185550.0,0.0,0.0,0.0,0.0
2021-10-28,McHenry County,ND,36.7,2110,43.8,46.5,74.2,95.4,2309.0,40.2,47.9,50.7,79.1
2021-10-28,Chautauqua County,NY,52.7,66837,60.6,62.2,79.5,97.6,72945.0,57.5,66.1,67.9,88.1
2021-10-28,Elliott County,KY,31.6,2375,35.7,36.9,42.7,94.4,2650.0,35.3,39.9,40.9,45.8
2021-10-28,Livingston County,KY,45.1,4147,52.1,54.8,78.7,94.4,4627.0,50.3,58.1,61.0,84.8
2021-10-28,Columbus County,NC,39.2,21754,45.1,47.2,63.8,97.3,26111.0,47.0,54.1,56.4,73.3
2021-10-28,Iberia Parish,LA,41.3,28860,49.8,52.4,77.8,96.7,32710.0,46.8,56.5,59.2,81.5
2021-10-28,Montgomery County,KY,46.0,12958,54.4,55.9,77.9,94.4,14391.0,51.1,60.4,61.9,83.5
